,dong,landvalue,yuheung,sukbak,school,specialsch,hospital,store
1,가락동,5048512.096,80,3,7,0,1,0
2,가리봉동,2765156.694,8,31,1,0,0,0
3,가산동,2089913.966,29,34,0,0,0,0
4,가양동,2621878.977,10,0,9,0,0,2
5,가회동,4057977.168,0,0,1,0,0,0
6,갈월동,5588153.235,2,7,0,0,0,0
7,갈현동,2438748.751,33,7,10,0,1,0
8,강일동,459025.4307,0,0,1,0,0,0
9,개봉동,2240260.676,24,7,7,0,0,0
10,개포동,3569345.019,6,2,14,0,0,0
11,개화동,353098.0769,0,0,0,0,0,0
12,거여동,3576478.398,6,3,3,0,0,0
13,견지동,7033389.423,4,2,0,0,0,0
14,경운동,5642617.647,0,0,1,1,0,0
15,계동,3539299.702,0,0,3,0,0,0
16,고덕동,1924975.059,0,0,9,1,0,0
17,고척동,2129864.188,9,5,9,0,1,0
18,공덕동,3651615.279,10,5,1,0,0,0
19,공릉동,1811830.339,9,7,11,0,1,0
20,공평동,14980174.5,2,0,0,0,0,0
21,공항동,2165692.393,12,9,3,0,0,0
22,과해동,161395.5556,0,0,0,0,1,0
23,관수동,12461893.99,11,13,0,0,0,0
24,관철동,22340108.61,16,10,0,0,0,0
25,관훈동,10969471.2,4,7,0,0,0,0
26,광장동,2244451.501,10,4,7,0,0,0
27,광희동1가,5756218.631,26,18,0,0,0,0
28,광희동2가,3975469.515,0,8,0,0,0,0
29,교남동,6489460.227,3,0,0,0,0,0
30,교북동,5164782.353,2,1,0,0,0,0
31,구기동,1465039.872,5,1,0,0,0,0
32,구로동,2506449.12,53,70,13,0,1,4
33,구산동,2056103.648,1,1,9,1,0,0
34,구수동,3214598.571,2,1,0,0,0,0
35,구의동,3089646.954,28,19,5,1,0,1
36,군자동,3060160.235,10,10,1,0,0,0
37,궁동,1512226.174,0,0,7,1,0,0
38,궁정동,2801860.227,0,0,0,0,0,0
39,권농동,2351173.611,0,1,0,0,0,0
40,금호동1가,2530983.77,2,2,2,0,0,0
41,금호동2가,3239617.653,0,1,1,0,0,0
42,금호동3가,3221466.869,3,8,0,0,0,0
43,금호동4가,3350912.05,1,2,1,0,0,0
44,길동,3552395.507,143,35,1,0,1,0
45,길음동,3139789.289,2,10,2,0,0,2
46,낙원동,8435276.986,55,33,0,0,0,0
47,남가좌동,2696036.144,23,11,3,0,0,0
48,남대문로1가,18723736.84,0,0,0,0,0,0
49,남대문로2가,17647176.47,0,0,0,0,0,1
50,남대문로3가,16881891.89,0,0,0,0,0,0
51,남대문로4가,15831200,1,2,0,0,0,0
52,남대문로5가,8073647.638,14,11,0,0,0,0
53,남산동1가,4067596.296,0,2,0,0,0,0
54,남산동2가,3313367.48,1,8,1,0,0,0
55,남산동3가,4202833.929,0,1,0,0,0,0
56,남영동,7950173.913,8,9,0,0,0,0
57,남창동,15101072.77,2,3,0,0,0,0
58,남학동,3420629.032,0,2,0,0,0,0
59,남현동,3163564.535,24,10,1,0,0,1
