dong,landvalue,yuheung,sukbak,school,specialsch,hospital,store,gu,landsize
가락동,5048512.096,23.30623061,0.873983648,2.039295179,0,1,0,송파구,3432558.5
가리봉동,2765156.694,19.60130456,75.95505519,2.450163071,0,0,0,구로구,408136.1
가산동,2089913.966,11.5230445,13.50977631,0,0,0,0,금천구,2516696
가양동,2621878.977,4.057822181,0,3.652039963,0,0,1,강서구,2464376.1
가회동,4057977.168,0,0,6.325134694,0,0,0,종로구,158099.4
갈월동,5588153.235,8.916422803,31.20747981,0,0,0,0,용산구,224305.2
갈현동,2438748.751,17.03753332,3.61402222,5.162888886,0,1,0,은평구,1936900.1
강일동,459025.4307,0,0,0.356708768,0,0,0,강동구,2803407.4
개봉동,2240260.676,8.201220219,2.392022564,2.392022564,0,0,0,구로구,2926393.8
개포동,3569345.019,1.106025259,0.368675086,2.580725604,0,0,0,강남구,5424830.9
개화동,353098.0769,0,0,0,0,0,0,강서구,4785238.3
거여동,3576478.398,2.514342332,1.257171166,1.257171166,0,0,0,송파구,2386309.9
견지동,7033389.423,86.28741908,43.14370954,0,0,0,0,종로구,46356.7
경운동,5642617.647,0,0,17.49723106,1,0,0,종로구,57151.9
계동,3539299.702,0,0,17.25932305,0,0,0,종로구,173819.1
고덕동,1924975.059,0,0,2.401928781,1,0,0,강동구,3746988.7
고척동,2129864.188,4.130849334,2.294916297,4.130849334,0,1,0,구로구,2178728.7
공덕동,3651615.279,13.07460606,6.537303028,1.307460606,0,0,0,마포구,764841.4
공릉동,1811830.339,1.092678104,0.849860747,1.33549546,0,1,0,노원구,8236643.5
공평동,14980174.5,51.71700455,0,0,0,0,0,종로구,38672
공항동,2165692.393,4.129469325,3.097101993,1.032367331,0,0,0,강서구,2905942.4
과해동,161395.5556,0,0,0,0,1,0,강서구,2793612.9
관수동,12461893.99,181.9396754,215.0196164,0,0,0,0,종로구,60459.6
관철동,22340108.61,198.5781802,124.1113626,0,0,0,0,종로구,80572.8
관훈동,10969471.2,54.51522338,95.40164091,0,0,0,0,종로구,73374
광장동,2244451.501,4.176140066,1.670456027,2.923298046,0,0,0,광진구,2394555.7
광희동1가,5756218.631,479.1063561,331.6890157,0,0,0,0,중구,54267.7
광희동2가,3975469.515,0,141.7128119,0,0,0,0,중구,56452.2
교남동,6489460.227,134.5689756,0,0,0,0,0,종로구,22293.4
교북동,5164782.353,67.37704531,33.68852266,0,0,0,0,종로구,29683.7
구기동,1465039.872,1.347454876,0.269490975,0,0,0,0,종로구,3710699.4
구로동,2506449.12,10.02459032,13.24002495,2.458861777,0,1,1,구로구,5286999.1
구산동,2056103.648,0.723845333,0.723845333,6.514607995,1,0,0,은평구,1381510.6
구수동,3214598.571,39.94750897,19.97375449,0,0,0,0,마포구,50065.7
구의동,3089646.954,9.430010111,6.398935433,1.683930377,1,0,1,광진구,2969243.9
군자동,3060160.235,13.61804118,13.61804118,1.361804118,0,0,0,광진구,734320
궁동,1512226.174,0,0,3.839348917,1,0,0,구로구,1823225.8
궁정동,2801860.227,0,0,0,0,0,0,종로구,73042.7
권농동,2351173.611,0,29.07407784,0,0,0,0,종로구,34394.9
금호동1가,2530983.77,4.502560494,4.502560494,4.502560494,0,0,0,성동구,444191.7
금호동2가,3239617.653,0,3.276514208,3.276514208,0,0,0,성동구,305202.4
금호동3가,3221466.869,8.817333938,23.5128905,0,0,0,0,성동구,340238.9
금호동4가,3350912.05,1.236147881,2.472295763,1.236147881,0,0,0,성동구,808964.7
길동,3552395.507,88.7379062,21.71906795,0.620544799,0,1,0,강동구,1611487.2
길음동,3139789.289,1.649093242,8.24546621,1.649093242,0,0,1,성북구,1212787.7
낙원동,8435276.986,752.1336665,451.2801999,0,0,0,0,종로구,73125.3
남가좌동,2696036.144,18.41209601,8.805785049,2.401577741,0,0,0,서대문구,1249178.8
남대문로1가,18723736.84,0,0,0,0,0,0,중구,19106.2
남대문로2가,17647176.47,0,0,0,0,0,1,중구,26561.4
남대문로3가,16881891.89,0,0,0,0,0,0,중구,33664.1
남대문로4가,15831200,18.23659428,36.47318856,0,0,0,0,중구,54834.8
남대문로5가,8073647.638,61.09769871,48.0053347,0,0,0,0,중구,229141.2
남산동1가,4067596.296,0,86.61083155,0,0,0,0,중구,23091.8
남산동2가,3313367.48,13.73613166,109.8890533,13.73613166,0,0,0,중구,72800.7
남산동3가,4202833.929,0,34.263355,0,0,0,0,중구,29185.7
남영동,7950173.913,123.0388757,138.4187351,0,0,0,0,용산구,65020.1
남창동,15101072.77,14.43708714,21.65563072,0,0,0,0,중구,138532.1
남학동,3420629.032,0,184.9676769,0,0,0,0,중구,10812.7
남현동,3163564.535,7.343586653,3.059827772,0.305982777,0,0,1,관악구,3268157.8
내곡동,806197.2819,0,0,0.120919598,1,0,0,서초구,8269958
내발산동,2457003.319,0,0.606212674,9.093190104,0,1,0,강서구,1649586.1
내수동,5636463.918,28.41211777,0,0,0,0,0,종로구,70392.5
내자동,6635816.143,19.13516699,0,0,0,0,0,종로구,52259.8
냉천동,3638638.624,0,16.9131333,0,0,0,0,서대문구,118251.3
노고산동,5327223.458,48.81520613,130.173883,6.508694151,0,0,0,마포구,307281.3
노량진동,3900450.966,10.22714768,10.22714768,0.681809845,0,0,0,동작구,1466684.6
녹번동,2349978.287,8.383567671,3.353427068,1.117809023,0,0,0,은평구,1789214.4
논현동,6908615.647,48.57761433,9.200305745,1.104036689,0,0,0,강남구,2717301
