,gu,hospital,school,store,sukbak,yuheung,specialsch,landvalue,landsize
1,碍巢备,4,78,7,156,523,2,5671760.052,39.5
2,碍悼备,3,47,5,118,240,2,2692375.607,24.59
3,碍合备,1,34,5,185,202,3,1722533.073,23.6
4,碍辑备,3,67,4,175,297,1,1594530.349,41.44
5,包厩备,2,54,2,168,315,2,2837872.863,29.57
6,堡柳备,2,37,3,105,104,1,3038737.271,17.06
7,备肺备,2,48,6,138,131,2,1863849.126,20.12
8,陛玫备,1,33,3,88,130,0,2121545.377,13.02
9,畴盔备,3,88,4,39,77,2,1694550.101,35.44
10,档豪备,1,46,2,34,77,1,1811514.457,20.67
11,悼措巩备,5,39,5,204,190,0,2810004.742,14.22
12,悼累备,2,33,1,57,98,2,2738178.739,16.35
13,付器备,0,39,4,92,148,1,3612563.448,23.84
14,辑措巩备,2,36,1,104,95,1,3236664.249,17.61
15,辑檬备,1,49,5,72,184,1,3681629.349,46.98
16,己悼备,1,27,3,101,69,0,3118999.209,16.86
17,己合备,1,47,5,105,77,1,3123915.225,24.58
18,价颇备,2,78,6,112,279,2,4261474.457,33.88
19,剧玫备,2,61,4,26,79,0,2666892.703,17.41
20,康殿器备,7,41,12,253,424,0,3382096.989,24.53
21,侩魂备,1,29,2,106,137,0,4678248.31,21.87
22,篮乞备,1,52,2,95,213,1,2192283.407,29.7
23,辆肺备,4,33,0,224,352,4,6896178.816,23.91
24,吝备,3,26,5,325,337,0,10247640.05,9.96
25,吝尔备,3,47,6,123,130,0,2057077.401,18.5
