,gu,hospital,school,store,sukbak,yuheung,specialsch,landvalue,landsize
1,강남구,4,78,7,156,523,2,5671760.052,39.5
2,강동구,3,47,5,118,240,2,2692375.607,24.59
3,강북구,1,34,5,185,202,3,1722533.073,23.6
4,강서구,3,67,4,175,297,1,1594530.349,41.44
5,관악구,2,54,2,168,315,2,2837872.863,29.57
6,광진구,2,37,3,105,104,1,3038737.271,17.06
7,구로구,2,48,6,138,131,2,1863849.126,20.12
8,금천구,1,33,3,88,130,0,2121545.377,13.02
9,노원구,3,88,4,39,77,2,1694550.101,35.44
10,도봉구,1,46,2,34,77,1,1811514.457,20.67
11,동대문구,5,39,5,204,190,0,2810004.742,14.22
12,동작구,2,33,1,57,98,2,2738178.739,16.35
13,마포구,0,39,4,92,148,1,3612563.448,23.84
14,서대문구,2,36,1,104,95,1,3236664.249,17.61
15,서초구,1,49,5,72,184,1,3681629.349,46.98
16,성동구,1,27,3,101,69,0,3118999.209,16.86
17,성북구,1,47,5,105,77,1,3123915.225,24.58
18,송파구,2,78,6,112,279,2,4261474.457,33.88
19,양천구,2,61,4,26,79,0,2666892.703,17.41
20,영등포구,7,41,12,253,424,0,3382096.989,24.53
21,용산구,1,29,2,106,137,0,4678248.31,21.87
22,은평구,1,52,2,95,213,1,2192283.407,29.7
23,종로구,4,33,0,224,352,4,6896178.816,23.91
24,중구,3,26,5,325,337,0,10247640.05,9.96
25,중랑구,3,47,6,123,130,0,2057077.401,18.5
